Time [ms], Thumb, Index, Middle, Ring, Little, force
67.198189, 1705, 1815, 2967, 2064, 2919, 0.283412, 
67.815579, 1705, 1815, 2967, 2064, 2919, 0.269227, 
68.442816, 1705, 1815, 2967, 2064, 2919, 0.278254, 
69.048172, 1705, 1815, 2967, 2064, 2919, 0.274385, 
69.691090, 1705, 1815, 2967, 2064, 2919, 0.274385, 
71.472514, 1705, 1815, 2967, 2064, 2919, 0.273095, 
72.176332, 1704, 1814, 2967, 2064, 2919, 0.273095, 
73.179181, 1704, 1814, 2967, 2064, 2919, 0.269227, 
73.749164, 1704, 1814, 2967, 2064, 2919, 0.267937, 
74.407034, 1704, 1814, 2967, 2064, 2919, 0.267937, 
75.060162, 1704, 1814, 2967, 2064, 2919, 0.269227, 
75.713655, 1704, 1814, 2967, 2064, 2919, 0.265358, 
76.492230, 1704, 1814, 2967, 2064, 2919, 0.262779, 
77.226681, 1704, 1814, 2967, 2064, 2919, 0.266648, 
77.912265, 1704, 1814, 2967, 2064, 2919, 0.262779, 
78.578157, 1704, 1814, 2967, 2064, 2919, 0.261489, 
79.938750, 1704, 1814, 2967, 2064, 2919, 0.260200, 
80.598077, 1704, 1814, 2967, 2064, 2919, 0.260200, 
82.548346, 1704, 1814, 2967, 2064, 2919, 0.257621, 
83.646010, 1704, 1814, 2967, 2064, 2919, 0.255041, 
84.256107, 1704, 1814, 2967, 2064, 2919, 0.257621, 
84.981440, 1704, 1814, 2967, 2064, 2919, 0.253752, 
85.592631, 1704, 1814, 2967, 2064, 2919, 0.257621, 
86.252688, 1704, 1814, 2967, 2064, 2919, 0.255041, 
86.987138, 1704, 1814, 2967, 2064, 2919, 0.256331, 
87.735811, 1705, 1815, 2967, 2064, 2920, 0.255041, 
88.419207, 1705, 1815, 2967, 2064, 2920, 0.253752, 
89.105885, 1705, 1815, 2967, 2064, 2920, 0.256331, 
89.690090, 1705, 1815, 2967, 2064, 2920, 0.256331, 
91.493031, 1705, 1815, 2967, 2064, 2920, 0.251173, 
92.286558, 1705, 1815, 2967, 2064, 2920, 0.257621, 
93.671584, 1705, 1815, 2967, 2064, 2920, 0.251173, 
94.535128, 1705, 1815, 2967, 2064, 2920, 0.257621, 
95.372781, 1705, 1815, 2967, 2064, 2920, 0.252462, 
96.254194, 1705, 1815, 2967, 2064, 2920, 0.252462, 
96.924827, 1705, 1815, 2967, 2064, 2920, 0.253752, 
97.695015, 1705, 1815, 2967, 2064, 2920, 0.249883, 
98.448793, 1705, 1815, 2967, 2064, 2920, 0.257621, 
99.163186, 1705, 1815, 2967, 2064, 2920, 0.252462, 
99.898001, 1705, 1815, 2967, 2064, 2920, 0.257621, 
100.558058, 1705, 1815, 2967, 2064, 2920, 0.253752, 
102.351882, 1705, 1815, 2967, 2064, 2920, 0.256331, 
103.468144, 1704, 1815, 2967, 2064, 2919, 0.258910, 
105.649979, 1704, 1815, 2967, 2064, 2919, 0.257621, 
106.352703, 1704, 1815, 2967, 2064, 2919, 0.257621, 
107.047404, 1704, 1815, 2967, 2064, 2919, 0.261489, 
107.746846, 1704, 1815, 2967, 2064, 2919, 0.258910, 
108.451028, 1704, 1815, 2967, 2064, 2919, 0.260200, 
109.394801, 1704, 1815, 2967, 2064, 2919, 0.258910, 
110.889228, 1704, 1815, 2967, 2064, 2919, 0.261489, 
111.846493, 1704, 1815, 2967, 2064, 2919, 0.262779, 
113.398904, 1704, 1815, 2967, 2064, 2919, 0.265358, 
113.996237, 1704, 1815, 2967, 2064, 2919, 0.267937, 
114.757309, 1704, 1815, 2967, 2064, 2919, 0.266648, 
115.458574, 1704, 1815, 2967, 2064, 2919, 0.269227, 
116.152910, 1704, 1815, 2967, 2064, 2919, 0.270516, 
116.844694, 1704, 1815, 2967, 2064, 2919, 0.269227, 
117.558358, 1704, 1815, 2967, 2064, 2919, 0.274385, 
118.271292, 1704, 1815, 2967, 2064, 2919, 0.275674, 
119.660330, 1705, 1815, 2967, 2064, 2920, 0.275674, 
122.394643, 1705, 1815, 2967, 2064, 2920, 0.280833, 
123.221720, 1705, 1815, 2967, 2064, 2920, 0.279543, 
127.297664, 1705, 1815, 2967, 2064, 2920, 0.279543, 
127.397220, 1705, 1815, 2967, 2064, 2920, 0.283412, 
128.277904, 1705, 1815, 2967, 2064, 2920, 0.284701, 
129.192867, 1705, 1815, 2967, 2064, 2920, 0.284701, 
130.076468, 1705, 1815, 2967, 2064, 2920, 0.288570, 
130.787579, 1705, 1815, 2967, 2064, 2920, 0.288570, 
132.458873, 1705, 1815, 2967, 2064, 2920, 0.293728, 
133.204993, 1705, 1815, 2967, 2064, 2920, 0.288570, 
134.273118, 1705, 1815, 2967, 2064, 2920, 0.300176, 
134.858053, 1705, 1815, 2967, 2064, 2920, 0.295018, 
135.537438, 1705, 1815, 2967, 2064, 2920, 0.297597, 
136.210258, 1705, 1814, 2967, 2064, 2920, 0.302755, 
136.958202, 1705, 1814, 2967, 2064, 2920, 0.297597, 
137.611695, 1705, 1814, 2967, 2064, 2920, 0.305334, 
138.279775, 1705, 1814, 2967, 2064, 2920, 0.301466, 
138.923057, 1705, 1814, 2967, 2064, 2920, 0.306624, 
139.536800, 1705, 1814, 2967, 2064, 2920, 0.307914, 
140.152732, 1705, 1814, 2967, 2064, 2920, 0.306624, 
141.069519, 1705, 1814, 2967, 2064, 2920, 0.311782, 
141.717906, 1705, 1814, 2967, 2064, 2920, 0.313072, 
143.464322, 1705, 1814, 2967, 2064, 2920, 0.311782, 
144.824915, 1705, 1814, 2967, 2064, 2920, 0.315651, 
145.804790, 1705, 1814, 2967, 2064, 2920, 0.314361, 
146.729964, 1705, 1814, 2967, 2064, 2920, 0.320809, 
147.473896, 1705, 1814, 2967, 2064, 2920, 0.314361, 
148.133224, 1705, 1814, 2967, 2064, 2920, 0.323388, 
148.908153, 1705, 1814, 2967, 2064, 2920, 0.322099, 
149.717725, 1705, 1814, 2967, 2064, 2920, 0.323388, 
150.635606, 1705, 1814, 2967, 2064, 2920, 0.322099, 
151.272689, 1705, 1814, 2967, 2064, 2920, 0.328547, 
151.969942, 1705, 1814, 2967, 2064, 2920, 0.327257, 
152.656985, 1705, 1814, 2967, 2064, 2920, 0.329836, 
154.605065, 1705, 1814, 2967, 2064, 2920, 0.329836, 
155.320917, 1705, 1814, 2967, 2064, 2920, 0.327257, 
156.375915, 1705, 1814, 2967, 2064, 2920, 0.334994, 
156.986376, 1705, 1814, 2967, 2064, 2920, 0.334994, 
157.674513, 1705, 1814, 2967, 2064, 2920, 0.334994, 
158.545351, 1705, 1814, 2967, 2064, 2920, 0.336284, 
159.139767, 1705, 1814, 2967, 2064, 2920, 0.336284, 
159.742935, 1704, 1814, 2967, 2064, 2920, 0.337574, 
160.324223, 1704, 1814, 2967, 2064, 2920, 0.338863, 
160.996314, 1704, 1814, 2967, 2064, 2920, 0.337574, 
